,PdDistrict,DayOfWeek,AvgTemp,NFLGameDay,Month,MonthPeriod,Crimes
8573,3,4,16,0,8,2,1
6245,5,5,17,0,5,2,0
9892,1,4,22,0,5,2,0
9253,2,6,11,0,1,0,0
4863,3,4,18,0,8,0,1
10210,9,3,19,0,7,0,1
5954,4,1,10,0,3,2,1
9838,7,0,15,0,4,1,2
15914,3,0,15,0,9,0,1
10501,0,5,18,0,9,2,0
5148,8,4,13,0,10,0,1
4441,1,4,16,0,5,2,1
14510,9,4,8,0,11,1,0
5094,4,2,14,0,9,1,1
14691,0,5,13,0,1,0,0
1957,7,3,9,0,0,1,1
19985,4,2,11,0,11,1,1
21970,9,1,14,0,1,0,1
17645,4,6,16,0,8,2,1
6039,9,5,16,0,4,0,0
3528,8,6,13,0,11,0,0
3025,5,5,19,0,7,1,0
20199,8,2,13,0,1,0,0
2699,9,4,16,0,5,1,0
3337,7,0,14,0,9,1,2
16888,7,4,17,0,3,2,1
17627,6,1,16,0,8,2,0
6672,2,6,16,0,8,0,0
6918,8,2,20,0,9,1,0
3011,1,1,18,0,7,1,0
21425,4,6,21,0,9,2,1
20865,4,6,18,0,5,1,0
5617,7,5,14,0,1,0,1
13754,3,2,17,0,6,1,1
16778,7,3,11,0,2,1,1
9242,1,5,9,0,1,0,0
13701,0,1,18,0,6,1,0
6561,1,2,18,0,7,2,0
10777,6,1,10,0,11,0,0
9430,9,2,12,0,2,0,1
15953,2,5,16,0,9,2,0
18941,0,3,14,0,5,0,1
14305,4,0,12,0,10,2,1
17433,2,6,18,0,7,0,0
2129,9,6,12,0,2,0,2
2414,4,4,18,0,3,1,2
2794,4,3,17,0,6,2,1
5811,1,1,9,0,2,2,0
9149,8,2,11,0,0,2,0
592,2,4,16,0,4,0,1
15326,5,5,18,0,5,2,0
2684,4,6,16,0,5,1,1
21765,4,5,16,0,11,1,1
22043,2,5,13,0,1,2,1
7134,4,3,11,1,11,0,1
3965,5,0,21,0,2,2,0
12557,6,0,12,0,10,1,0
14285,4,6,14,0,10,2,1
19538,7,6,17,0,9,0,2
6916,6,2,20,0,9,1,0
8583,3,0,18,0,8,1,1
19585,4,1,18,0,9,2,1
14362,1,4,9,0,11,0,0
3415,5,2,15,0,10,2,0
15971,0,4,15,0,9,2,0
22265,4,6,14,0,3,0,0
169,9,6,11,0,1,0,1
6290,0,3,14,0,5,2,1
19186,5,6,17,0,6,1,1
18533,2,1,12,0,2,2,0
8794,4,0,16,0,10,0,1
7212,2,1,9,0,11,1,0
11305,4,0,12,0,2,2,1
16231,0,5,9,0,11,2,0
15315,4,1,15,0,5,2,0
2455,5,1,14,0,4,0,0
16265,4,0,10,0,11,2,2
5848,8,4,13,0,2,1,0
137,7,3,13,0,0,1,1
13698,7,3,17,0,6,2,1
16596,5,6,15,0,1,1,0
7665,5,4,14,0,2,1,0
11584,3,0,14,0,4,2,1
10272,1,3,19,0,7,1,1
13991,0,5,18,0,8,1,0
20854,3,5,17,0,5,1,1
4337,7,3,17,0,4,1,1
1029,9,0,18,0,6,1,0
12181,0,6,19,0,8,2,0
10201,0,3,19,0,7,0,0
7019,9,5,13,0,10,2,0
5407,7,5,14,0,11,1,1
6423,3,2,17,0,6,2,1
5199,9,5,17,0,10,2,0
5116,6,1,16,0,9,1,0
1397,7,3,17,1,9,0,1
12425,4,2,16,0,9,1,1
3910,0,3,13,0,1,1,0
11489,8,5,12,0,3,1,0
8227,7,4,19,0,6,2,2
15968,7,6,16,0,9,2,2
19612,1,4,20,0,9,2,1
21129,8,1,18,0,7,2,0
13978,7,3,17,1,8,2,2
18204,3,6,9,0,0,0,2
22446,5,3,15,0,4,0,0
14403,2,1,13,0,11,2,0
7293,3,5,11,0,0,0,1
2495,5,0,14,0,4,2,0
12525,4,5,14,0,10,1,1
746,6,0,14,0,4,1,0
21010,9,6,21,0,6,1,0
14040,9,2,24,0,8,1,1
2701,1,0,18,0,5,1,1
14379,8,0,11,0,11,0,0
18558,7,6,13,0,2,2,2
3669,9,6,8,0,0,2,0
4871,1,0,16,0,8,0,1
20188,7,0,12,0,1,0,1
14718,7,4,11,0,1,0,2
5391,1,1,14,0,11,1,0
15933,2,3,16,1,9,0,0
10414,3,3,17,1,8,1,1
21838,7,5,11,0,0,0,2
10818,7,0,12,0,11,2,1
21693,2,5,16,0,11,0,0
6934,4,1,12,0,9,1,1
6735,5,5,17,0,8,2,0
14509,8,4,8,0,11,1,0
17835,4,1,17,1,9,1,1
15817,6,5,22,0,8,2,0
6810,0,6,16,0,9,0,1
12939,8,1,13,0,1,1,0
1676,6,3,11,1,10,1,0
714,4,5,20,0,4,1,2
2678,8,5,16,0,5,1,0
6868,8,1,16,0,9,2,0
20804,3,4,17,0,5,2,1
17123,2,3,16,0,5,0,0
14359,8,6,8,0,11,0,0
10317,6,4,24,0,8,0,0
3438,8,1,11,0,10,1,0
5098,8,2,14,0,9,1,0
7793,3,6,11,0,3,2,1
14809,8,2,6,0,1,1,0
11318,7,2,11,0,2,1,2
1586,6,0,14,0,10,2,0
6,6,1,14,0,0,0,0
2743,3,5,18,0,6,0,1
7725,5,6,15,0,3,0,0
20833,2,3,17,0,5,2,0
17713,2,6,21,0,9,0,0
7608,8,0,11,0,2,0,0
19028,7,1,16,0,5,1,1
9791,0,1,13,0,4,1,1
15676,5,5,21,0,7,1,0
12387,6,5,15,0,9,1,0
10992,1,5,13,0,0,2,0
5853,3,0,15,0,2,1,1
7097,7,6,9,0,10,1,2
10497,6,1,18,0,9,2,0
12030,9,1,17,0,7,2,1
17411,0,1,17,0,7,0,0
1023,3,0,18,0,6,1,1
19838,7,0,12,0,10,1,2
17919,8,5,13,0,10,2,0
7395,5,0,7,0,0,1,0
5474,4,5,12,0,0,0,1
22305,4,3,12,0,3,0,1
11808,7,3,21,0,5,1,1
12554,3,0,12,0,10,1,0
15266,5,6,14,0,5,0,0
10215,4,1,18,0,7,2,1
17891,0,3,19,0,10,0,0
17691,0,1,23,0,9,0,2
20203,2,3,14,0,1,0,1
15316,5,1,15,0,5,2,0
17820,9,2,16,0,9,2,0
12487,6,0,12,0,10,2,0
7270,0,3,9,1,11,1,1
22018,7,2,17,0,1,0,1
18275,4,6,12,0,0,1,2
16897,6,0,19,0,3,2,0
20024,3,6,13,0,0,0,2
5862,2,2,13,0,2,1,0
3143,3,3,17,1,8,2,1
12346,5,0,20,0,9,2,0
14968,7,1,16,0,3,0,1
16738,7,6,14,0,2,1,2
10861,0,6,11,0,11,1,0
17738,7,0,19,0,9,0,2
6532,2,6,23,0,7,0,0
9102,1,5,9,0,0,0,0
21543,2,1,16,0,10,0,0
21266,5,1,21,0,8,2,0
558,8,3,13,0,3,2,0
20843,2,1,18,0,5,1,1
18004,3,4,16,0,10,1,1
21630,9,5,14,0,10,1,0
12715,4,3,10,1,11,1,0
17477,6,3,15,0,7,2,0
20677,6,0,18,0,4,2,0
3682,2,0,7,0,0,2,1
9412,1,0,13,0,2,0,0
17877,6,0,14,0,10,0,0
13748,7,0,16,0,6,1,2
16491,0,3,11,0,0,1,0
4333,3,3,17,0,4,1,0
14935,4,0,12,0,2,1,1
