Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
667e7a3676129253d16ca3fd,5f5bcd84009333376363c9aa,APPROVED,Not Applicable,2024-06-28T08:59:02.946000Z,2024-06-28T09:42:52.901000Z,2024-07-09T20:07:34.543000Z,2024-06-28T09:42:53.618981Z,2630.0,CLA1QC0Z,4088,45,Female,White,United States,United States,United States,English,DATA_EXPIRED,Full-Time
667e7a4d708180d342fd43b6,59ecda775de9b000017ed6a7,APPROVED,Not Applicable,2024-06-28T08:54:39.986000Z,2024-06-28T09:29:53.026000Z,2024-07-09T20:07:35.346000Z,2024-06-28T09:29:53.869024Z,2114.0,CLA1QC0Z,300,38,Female,White,United Kingdom,United Kingdom,United Kingdom,English,Yes,Full-Time
667e7a544fb16d67fbb36358,6676acff55f3906c7c1b7cde,APPROVED,Not Applicable,2024-06-28T08:54:57.159000Z,2024-06-28T09:23:10.099000Z,2024-07-09T20:12:35.341000Z,2024-06-28T09:24:55.541057Z,1693.0,CLA1QC0Z,1,22,Male,Mixed,Ghana,United States,United States,English,DATA_EXPIRED,Part-Time
667e7a6597f3a37673ce1a2b,666d94293e6750c227c3169e,APPROVED,Not Applicable,2024-06-28T08:55:20.621000Z,2024-06-28T09:20:27.632000Z,2024-07-09T20:12:36.177000Z,2024-06-28T09:20:28.491433Z,1508.0,CLA1QC0Z,2,34,Male,Black,Nigeria,United Kingdom,Nigeria,English,DATA_EXPIRED,Part-Time
667e7aa098b67bc77b1d9586,5b8bd52abca3400001fadce4,APPROVED,Not Applicable,2024-06-28T08:57:41.964000Z,2024-06-28T09:18:01.083000Z,2024-07-09T20:12:36.766000Z,2024-06-28T09:18:02.411164Z,1220.0,CLA1QC0Z,240,23,Male,White,United Kingdom,United Kingdom,United Kingdom,English,Yes,Part-Time
667e7fcf9cf58f836c961887,602dbbe562da6288a7e820f4,APPROVED,Not Applicable,2024-06-28T09:18:13.415000Z,2024-06-28T09:48:35.837000Z,2024-07-09T20:07:35.888000Z,2024-06-28T09:48:36.669935Z,1823.0,CLA1QC0Z,15,47,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,DATA_EXPIRED
667e806400dbfe368362c4a8,65a6b5c82301c6acf30be0f7,APPROVED,Not Applicable,2024-06-28T09:23:09.391000Z,2024-06-28T10:36:15.273000Z,2024-07-09T20:07:36.496000Z,2024-06-28T10:36:16.139375Z,4386.0,CLA1QC0Z,74,32,Female,Black,Nigeria,United Kingdom,Nigeria,English,Yes,Part-Time
667e80ff4c94f9e75b2ddc47,667d73c6c567edc939cbfe30,APPROVED,Not Applicable,2024-06-28T09:23:24.423000Z,2024-06-28T10:50:24.169000Z,2024-07-09T20:12:37.392000Z,2024-06-28T10:50:24.905806Z,5220.0,CLA1QC0Z,5,21,Male,Mixed,Ghana,United States,United States,English,Yes,DATA_EXPIRED
667e82989e43c834ab9c760f,5c7e33aa19b8d40017e6dd80,RETURNED,Not Applicable,2024-06-28T09:40:00.938000Z,,,2024-07-01T13:12:13.130710Z,,,2311,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
667e82b2766f6dbaf9425750,665afff0a7acb565414e9edf,APPROVED,Not Applicable,2024-06-28T09:30:33.481000Z,2024-06-28T10:04:38.337000Z,2024-07-09T20:12:38.044000Z,2024-06-28T10:07:28.230714Z,2045.0,CLA1QC0Z,48,34,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
667e85a3dd8196d53dd5aacc,663ba5be68b9831a7ee50cfc,APPROVED,Not Applicable,2024-06-28T09:43:02.968000Z,2024-06-28T10:04:17.256000Z,2024-07-09T20:07:37.175000Z,2024-06-28T10:07:26.570744Z,1275.0,CLA1QC0Z,30,34,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
667e86f5634cec5f8bdd866d,66716d5ce729a5bcc3b59bdf,APPROVED,Not Applicable,2024-06-28T09:48:37.241000Z,2024-06-28T10:34:48.984000Z,2024-07-09T20:12:38.626000Z,2024-06-28T10:34:49.798751Z,2772.0,CLA1QC0Z,13,21,Male,Black,Nigeria,United Kingdom,DATA_EXPIRED,English,Yes,Part-Time
667e8aa68b6154ceef98cf3b,66757a07808839acebc742cd,APPROVED,Not Applicable,2024-06-28T10:04:40.439000Z,2024-06-28T10:32:16.917000Z,2024-07-09T20:07:37.810000Z,2024-06-28T10:32:17.623665Z,1657.0,CLA1QC0Z,19,19,Female,Asian,United Kingdom,United Kingdom,United Kingdom,English,Yes,Part-Time
667e8ab641fb6a2df3a3adbd,6658b127edc17d58d47abb15,APPROVED,Not Applicable,2024-06-28T10:04:43.038000Z,2024-06-28T10:20:45.680000Z,2024-07-09T20:07:38.450000Z,2024-06-28T10:20:47.057513Z,963.0,CLA1QC0Z,70,42,Female,White,United Kingdom,United Kingdom,Ireland,English,No,Full-Time
667e8e80bfbe1dd53158b726,65943d7b926cec83ea750b05,APPROVED,Not Applicable,2024-06-28T10:20:48.690000Z,2024-06-28T11:17:50.315000Z,2024-07-09T20:07:39.118000Z,2024-06-28T11:17:51.900621Z,3422.0,CLA1QC0Z,99,32,Female,Black,Nigeria,United Kingdom,Nigeria,English,No,Full-Time
667e91343042b7944504b0c5,62d2c9d825a0449c13aa42cc,RETURNED,Not Applicable,2024-06-28T10:42:20.054000Z,,,2024-07-01T13:12:13.132094Z,,,1009,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
667e914030742eade1be133f,667c7169620a6149c7ee3557,APPROVED,Not Applicable,2024-06-28T10:33:03.939000Z,2024-06-28T11:13:12.684000Z,2024-07-09T20:12:39.219000Z,2024-06-28T11:13:14.526153Z,2409.0,CLA1QC0Z,11,27,Male,Black,Nigeria,United Kingdom,Nigeria,English,Yes,Part-Time
667e91cabc12c5a7fab22709,651ac88823e71c05dbc1ff63,APPROVED,Not Applicable,2024-06-28T10:34:50.468000Z,2024-06-28T11:31:38.386000Z,2024-07-09T20:12:39.802000Z,2024-06-28T11:31:39.324731Z,3408.0,CLA1QC0Z,698,55,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
667e9220dd8196d53dd5ad66,6658b2453a0758f928c3d2b7,APPROVED,Not Applicable,2024-06-28T10:36:27.655000Z,2024-06-28T11:11:53.162000Z,2024-07-09T20:07:39.731000Z,2024-06-28T11:11:53.972953Z,2126.0,CLA1QC0Z,58,26,Female,Asian,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
667e9570ac0e5c89f2d26015,5d3bfbebfd9694001a2d0f99,APPROVED,Not Applicable,2024-06-28T10:57:26.409000Z,2024-06-28T11:26:17.809000Z,2024-07-09T20:12:40.386000Z,2024-06-28T11:26:22.898457Z,1732.0,CLA1QC0Z,1180,36,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
667e9a7d984068c4ff7eb5cb,64401708880c30ec28b9aef4,APPROVED,Not Applicable,2024-06-28T11:11:57.070000Z,2024-06-28T11:34:13.058000Z,2024-07-09T20:12:40.940000Z,2024-06-28T11:34:14.038486Z,1336.0,CLA1QC0Z,408,26,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
667e9ac8783e8ce4b8fc091a,63cf80c4d375aee306c35b26,RETURNED,Not Applicable,2024-06-28T11:14:52.108000Z,,,2024-07-01T13:12:13.134401Z,,,725,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
667e9b7d866629f0bb487be6,6655eaccc1d8a40fca9da67e,APPROVED,Not Applicable,2024-06-28T11:17:28.755000Z,2024-06-28T12:14:41.578000Z,2024-07-09T20:12:41.554000Z,2024-06-28T12:14:43.918194Z,3433.0,CLA1QC0Z,63,46,Male,Black,Nigeria,United Kingdom,Nigeria,English,No,Part-Time
667e9bde3d2e7faffd6efd7d,667ac5004df7cc8799288f3d,APPROVED,Not Applicable,2024-06-28T11:17:50.355000Z,2024-06-28T12:22:26.038000Z,2024-07-09T20:12:42.137000Z,2024-06-28T12:22:26.875712Z,3876.0,CLA1QC0Z,9,32,Male,Black,Nigeria,United Kingdom,Nigeria,English,No,Part-Time
667e9dddf3014979d2804f9a,6100105892a2248ae5d48498,APPROVED,Not Applicable,2024-06-28T11:27:00.655000Z,2024-06-28T12:20:52.121000Z,2024-07-09T20:07:40.297000Z,2024-06-28T12:20:52.870581Z,3232.0,CLA1QC0Z,1120,28,Female,White,United States,United Kingdom,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
667e9f1aa79cc7ea224cec65,667c3104334e564e3fe078db,APPROVED,Not Applicable,2024-06-28T11:31:38.462000Z,2024-06-28T12:23:49.165000Z,2024-07-09T20:12:43.192000Z,2024-06-28T12:23:49.927237Z,3131.0,CLA1QC0Z,16,23,Male,Black,Nigeria,United Kingdom,Nigeria,English,Yes,Part-Time
667e9fb512265d00b7216df0,5d1c9d39ff67e3000140ca87,APPROVED,Not Applicable,2024-06-28T11:34:13.541000Z,2024-06-28T12:15:35.074000Z,2024-07-09T20:12:43.864000Z,2024-06-28T12:15:36.384239Z,2482.0,CLA1QC0Z,2313,60,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
